Comment,Designator,Footprint,LCSC,Quantity
FerriteBead GZ2012D101TF,"FB1,FB2",R_0805_2012Metric,C1017,2
100n,"C13,C19",C_0603_1608Metric,C14663,2
1N5819,"D2,D3",D_SOD-323,C191023,2
~,CN1,CONN-SMD_60P-P0.50_HCTL_HC-PBB23L-60DS-0.5V-G2-01,C22390096,1
~,CN2,CONN-SMD_HC-PBB23L-60DP-0.5V8-G2-01,C22390101,1
PIN_HEADER_2x5 POWER,H1,PinHeader_2x05_P2.54mm_Vertical_SMD,C3294463,1
22u,"C7,C9",C_0805_2012Metric,C45783,2
Conn_01x32_Pin,J1,PinSocket_1x32_P2.54mm_Vertical,,1
Conn_01x32_Pin,J2,PinSocket_1x32_P2.54mm_Vertical,,1
